sls_ord_num,product_key,customer_key,sls_sales,sls_quantity,sls_price,sls_order_dt,sls_ship_dt,sls_due_dt
SO43697,20,10769,3578,1,3578,29-12-2010,05-01-2011,10-01-2011
SO43698,9,17390,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43699,9,14864,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43700,41,3502,699,1,699,29-12-2010,05-01-2011,10-01-2011
SO43701,9,4,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43702,16,16646,3578,1,3578,30-12-2010,06-01-2011,11-01-2011
SO43703,20,5625,3578,1,3578,30-12-2010,06-01-2011,11-01-2011
SO43704,6,6,3375,1,3375,30-12-2010,06-01-2011,11-01-2011
SO43705,7,12,3400,1,3400,30-12-2010,06-01-2011,11-01-2011
SO43706,17,16622,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43707,17,16617,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43708,44,9043,699,1,699,31-12-2010,07-01-2011,12-01-2011
SO43709,18,5352,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43710,19,5518,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43711,19,16607,3578,1,3578,01-01-2011,08-01-2011,13-01-2011
SO43712,16,2514,3578,1,3578,01-01-2011,08-01-2011,13-01-2011
SO43713,20,16602,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43714,16,2592,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43715,19,5484,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43716,16,5530,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43717,41,14250,699,1,699,02-01-2011,09-01-2011,14-01-2011
SO43718,16,16669,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43719,17,16613,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43720,16,2265,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43721,20,2591,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43722,17,2582,3578,1,3578,04-01-2011,11-01-2011,16-01-2011
SO43723,39,3521,699,1,699,04-01-2011,11-01-2011,16-01-2011
SO43724,16,5521,3578,1,3578,04-01-2011,11-01-2011,16-01-2011
SO43725,16,2259,3578,1,3578,05-01-2011,12-01-2011,17-01-2011
SO43726,39,3561,699,1,699,05-01-2011,12-01-2011,17-01-2011
SO43727,16,5608,3578,1,3578,05-01-2011,12-01-2011,17-01-2011
SO43728,18,16667,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43729,9,239,3400,1,3400,06-01-2011,13-01-2011,18-01-2011
SO43730,9,14862,3400,1,3400,06-01-2011,13-01-2011,18-01-2011
SO43731,19,5630,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43732,5,26,3375,1,3375,06-01-2011,13-01-2011,18-01-2011
SO43733,17,16578,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43734,17,16605,3578,1,3578,07-01-2011,14-01-2011,19-01-2011
SO43735,20,5523,3578,1,3578,07-01-2011,14-01-2011,19-01-2011
SO43736,9,3,3400,1,3400,07-01-2011,14-01-2011,19-01-2011
SO43737,16,2262,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43738,17,607,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43739,20,2564,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43740,17,5528,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
